id,name,lat,lon,address,phone,website,instagram,openingHours,hasWifi,wifiFree,hasOutdoorSeating,hasTakeaway,hasAirConditioning,smokingPolicy,priceRange,description,logo,photos,submittedAt
415826789,Cafe Glass,"-7,2661303","112,7646912","Jalan Dharmahusada, Mojo, Surabaya",,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,2025-12-27T10:34:43.293Z
1340818669,Bon Cafe,"-7,2957078","112,6760649","Jalan Lingkar Dalam Barat, Babatan, Surabaya",,https://www.boncafellas.com/,,Mo-Su 09:00-22:30,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,2025-12-27T10:34:43.295Z
1849298684,Warung Bu Lilik,"-7,3601477","112,7290892","Jalan Jenderal S. Parman IV, Waru, Waru",,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,2025-12-27T10:34:43.295Z
2633385707,Warkop Nobar,"-7,2531434","112,6447475",surabaya,,,,16:00-02:00,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,2025-12-27T10:34:43.295Z
3317227635,The Café,"-7,2310091","112,7344491","Jalan Kebalen Timur, Krembangan Utara, Surabaya",,https://houseofsampoerna.museum/e_historybeauty_cafe.htm,,Mo-Su 11:00-21:00,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,2025-12-27T10:34:43.295Z
3953125335,Starbucks,"-7,2621634","112,7504732","Jalan Gubeng Pojok, Ketabang, Surabaya",,,,,FALSE,FALSE,,TRUE,FALSE,TRUE,,Starbucks,,,2025-12-27T10:34:43.295Z
4188606200,K1 Karaoke Lounge,"-7,242816","112,7413808","Jalan Stasiun Kota, Bongkaran, Surabaya",,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,2025-12-27T10:34:43.295Z
4188733335,Quickly,"-7,374167","112,7936515","Jl. Ir. H. Juanda, No.1, Terminal 1 Juanda International Airport, Segoro Tambak, Sidoarjo, Surabaya, East Java",,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,2025-12-27T10:34:43.295Z
4188777124,High Point Cafe Speciality,"-7,337004","112,7388901","Jalan Siwalankerto, Nomor 161-165, East Java, Surabaya",,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,2025-12-27T10:34:43.295Z
4188778818,Historica Coffee & Pastry,"-7,2694972","112,7494463","Jalan Sumatera, Nomor 40, Gubeng",,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,2025-12-27T10:34:43.295Z
